cand_id,demand_score,selected,p_off,p_mid,p_peak,profit,consumer_cost,rerouting
C00420,0.08464163822525599,True,0.0519154231746861,0.051021790633099987,0.050244688954690364,-7.138823283847646,5.287338247515613,0.0
C00423,0.6013651877133106,True,0.05131100672024708,0.05118377526434409,0.0505005629632595,-50.769503696523195,37.523101126723624,0.0
C00499,0.07781569965870308,True,0.05056062006831113,0.05029626310508834,0.059017999504983015,-6.335209442453848,5.0575931530955485,0.0
C00514,0.4,True,0.05175079287670188,0.05338241161087075,0.0514117143120178,-33.14266751713287,25.500254431676957,0.0
C00517,0.4,True,0.05069105463308641,0.05016850710775145,0.05436548560320746,-33.37733762079658,25.297261242946334,0.0
C00524,0.4,True,0.05001493198943646,0.051695326709300826,0.050686009975305424,-33.87573068153011,24.866758870292863,0.0
C00534,0.07918088737201366,True,0.05042741380631515,0.05045242460060254,0.05005100153108338,-6.757100766654716,4.878067393093758,0.0
C00537,0.4,True,0.05345268315290082,0.050044083414013715,0.050796609774952,-33.5411527723294,25.155806195465814,0.0
C00582,0.4,True,0.05034649695872492,0.05145181730712038,0.052340657505855086,-33.56756364139086,25.13310103608832,0.0
C00596,0.1037542662116041,True,0.055653040566892575,0.05035788560205191,0.05330274359525404,-8.470751066960672,6.723146087817833,0.0
