generation,best_cost,avg_cost,worst_cost,best_coverage,avg_coverage,worst_coverage,best_distance,avg_distance,worst_distance,avg_sites,min_sites,max_sites
0,26981700.14672149,202173683.47595298,457313755.6907787,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.256016816833932,2.3105175909236992,42.6,6.0,95.0
1,26981700.14672149,164318200.1199305,453158373.41068256,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.3573956272849406,2.3596274570230316,35.3,6.0,95.0
2,26981700.14672149,152166515.83209756,443642537.7219446,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.3626723214337468,2.3105175909236992,33.24,6.0,93.0
3,26981700.14672149,134061324.81320122,443642537.7219446,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.4561140843411053,2.3105175909236992,29.44,6.0,93.0
4,26981700.14672149,151211470.2283269,443642537.7219446,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.358386481902718,2.0122996047181343,33.18,6.0,93.0
5,26981700.14672149,151029742.43113753,443642537.7219446,215.77140382528768,215.77140382528768,215.77140382528768,0.7994661018460129,1.3283930800996797,2.0122996047181343,33.24,6.0,93.0
6,26981700.14672149,168701169.84597948,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.2114941682939193,2.0122996047181343,37.24,6.0,87.0
7,26981700.14672149,145553587.83925804,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.3567664811792,2.0122996047181343,31.96,6.0,87.0
8,26981700.14672149,134661427.53013816,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.3961737346867864,2.0122996047181343,29.5,6.0,87.0
9,26981700.14672149,110835548.56199767,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.4141494771715097,2.0122996047181343,24.32,6.0,87.0
10,26981700.14672149,122697866.02440187,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.2846723775367588,2.0122996047181343,27.16,6.0,87.0
11,26981700.14672149,126431520.24926147,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.2562872115403048,2.0122996047181343,28.02,6.0,87.0
12,26981700.14672149,128588671.93012613,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.216686341785539,2.0122996047181343,28.6,6.0,87.0
13,26981700.14672149,130251224.1071197,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7858047032509993,1.1413329814276032,2.0122996047181343,29.24,6.0,87.0
14,26981700.14672149,130063722.48769125,405351830.03002286,215.77140382528768,215.77140382528768,215.77140382528768,0.7854563417652315,1.1676696277667942,2.0122996047181343,28.86,6.0,87.0
15,26981700.14672149,127382795.45593242,347874781.4583968,215.77140382528768,215.77140382528768,215.77140382528768,0.7854563417652315,1.2373274974775836,2.0122996047181343,28.0,6.0,74.0
16,26981700.14672149,140958745.82677048,347874781.4583968,215.77140382528768,215.77140382528768,215.77140382528768,0.7854563417652315,1.1181379469160815,2.0122996047181343,31.22,6.0,74.0
17,26981700.14672149,139092612.70992875,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.1827368191723782,2.0122996047181343,30.72,6.0,77.0
18,26981700.14672149,147754622.28082523,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.090590850855264,2.0122996047181343,32.86,6.0,77.0
19,26981700.14672149,146825349.53157395,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.100429439146192,2.0122996047181343,32.52,6.0,77.0
20,26981700.14672149,151469966.60505423,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.0829619830926973,2.0122996047181343,33.7,6.0,77.0
21,26981700.14672149,157938221.11863148,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.0740059154394817,2.0122996047181343,35.06,6.0,77.0
22,26981700.14672149,145293649.1489159,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.0832823207340203,2.0122996047181343,32.56,6.0,77.0
23,26981700.14672149,149184611.60861018,366949892.69462776,215.77140382528768,215.77140382528768,215.77140382528768,0.7823559329091052,1.0791861410835797,2.0122996047181343,33.38,6.0,77.0
24,26981700.14672149,140015309.2553215,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.0864681689570552,2.0122996047181343,31.64,6.0,80.0
25,26981700.14672149,131904115.30972145,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.099756143496152,2.0122996047181343,30.06,6.0,80.0
26,26981700.14672149,130242354.63894573,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.1082484676503706,2.0122996047181343,29.68,6.0,80.0
27,26981700.14672149,128396220.15332976,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.1058003973347073,2.0122996047181343,29.26,6.0,80.0
28,26981700.14672149,132914038.23088945,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.099915194843472,2.0122996047181343,30.0,6.0,80.0
29,25922422.408735514,127191544.30148116,378824270.78026426,215.77140382528768,215.77140382528768,215.77140382528768,0.7707307159154537,1.1197997543830125,2.049724061715995,28.76,6.0,80.0
30,17552706.88773369,135421672.18645418,378824270.78026426,215.77140382528768,212.84762613961436,69.58251954162215,0.7707307159154537,1.1150824172806422,2.595861585095758,30.44,5.0,80.0
31,17552706.88773369,140567972.526543,378824270.78026426,215.77140382528768,209.92384845394102,69.58251954162215,0.7707307159154537,1.1433339235452478,2.595861585095758,31.34,5.0,80.0
32,17552706.88773369,128486998.63362303,310870056.6846256,215.77140382528768,209.92384845394102,69.58251954162215,0.7702840299861572,1.1539101643326104,2.595861585095758,29.12,5.0,64.0
33,17552706.88773369,127607821.1908721,303916051.6736016,215.77140382528768,207.00007076826776,69.58251954162215,0.7702840299861572,1.1429997842893962,2.595861585095758,29.02,5.0,63.0
34,17552706.88773369,125859288.03899747,303916051.6736016,215.77140382528768,207.00007076826773,69.58251954162215,0.7702840299861572,1.1314608998177589,2.595861585095758,28.76,5.0,63.0
35,17552706.88773369,112979904.598261,303916051.6736016,215.77140382528768,204.07629308259442,69.58251954162215,0.7702840299861572,1.1728618238384387,2.595861585095758,26.1,5.0,63.0
36,17552706.88773369,112874389.74775046,303916051.6736016,215.77140382528768,201.15251539692107,69.58251954162215,0.7702840299861572,1.1778075613101533,2.595861585095758,26.16,5.0,63.0
37,17552706.88773369,109954145.79321481,303916051.6736016,215.77140382528768,201.15251539692107,69.58251954162215,0.7702840299861572,1.1921131560382472,2.595861585095758,25.52,5.0,63.0
38,17552706.88773369,108807386.65388845,303916051.6736016,215.77140382528768,201.15251539692107,69.58251954162215,0.7702840299861572,1.1919757359842642,2.595861585095758,25.3,5.0,63.0
39,14033023.918665498,124813520.71504124,332505607.6487787,215.77140382528768,209.92384845394102,69.58251954162215,0.7663671412336212,1.0780559552537758,2.3189204189747548,28.68,5.0,69.0
40,14033023.918665498,121433184.37191662,332505607.6487787,215.77140382528768,207.00007076826773,69.58251954162215,0.7663671412336212,1.105665540133082,2.3189204189747548,27.92,5.0,69.0
41,14033023.918665498,119116925.77980419,332505607.6487787,215.77140382528768,207.00007076826776,69.58251954162215,0.7663671412336212,1.1087064448645156,2.3189204189747548,27.52,5.0,69.0
42,14033023.918665498,110808398.94585699,332505607.6487787,215.77140382528768,207.00007076826776,69.58251954162215,0.7663671412336212,1.1627053761342787,2.3189204189747548,25.68,5.0,69.0
43,14033023.918665498,109630826.70044278,332505607.6487787,215.77140382528768,207.00007076826776,69.58251954162215,0.7663671412336212,1.1588760427807296,2.3189204189747548,25.34,5.0,69.0
44,14033023.918665498,108378725.60612126,332505607.6487787,215.77140382528768,204.07629308259442,69.58251954162215,0.7663671412336212,1.1864563880100507,2.3189204189747548,25.0,5.0,69.0
